Statistical unit;Unit of measure;Sex;Age;Reference area;Time Period;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
GDP_DEFL:GDP deflator;PT:Percentage;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GDP_DEFL:PT:_Z:_Z:IR;0.03249;0.03552;0.03879;0.05129;0.08068;0.09338;0.10833;0.13382;0.15045;0.19485;0.28504;0.35796;0.37214;0.43957;0.52692;0.54676;0.61653;0.74319;0.88595;103.907;127.327;160.418;208.422;304.654;407.254;562.406;732.678;853.764;932.966;1.242.767;1.552.395;1.810.769;2.340.460;2.645.592;3.298.075;3.963.171;4.541.104;5.582.790;6.667.079;6.973.666;8.081.267;10.000.000;12.401.611;16.812.548;18.634.711;18.714.698;19.015.483;20.555.127
GNI:GNI;LCU_CUR:current LCU;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GNI:LCU_CUR:_Z:_Z:IR;83.145.057.044.934.900;104.018.396.852.489.000;129.937.484.222.245.000;186.544.153.879.865.000;312.488.985.140.904.000;352.937.797.268.891.000;480.028.023.848.008.000;568.867.606.014.667.000;536.064.196.850.925.000;662.075.070.867.841.000;699.087.365.762.663.000;843.008.717.534.214.000;1.108.871.742.264.270.000;1.386.776.799.464.520.000;1.518.656.685.191.980.000;1.613.036.796.648.210.000;1.640.650.244.157.860.000;1.996.653.283.873.990.000;2.233.348.262.919.820.000;2.783.176.530.487.130.000;3.811.699.592.306.110.000;5.387.923.594.708.830.000;7.195.590.532.306.120.000;1.065.892.735.857.210.000;1.386.130.014.110.490.000;1,99423E+14;2.665.337.659.956.150.000;3,15679E+14;3,56007E+14;4.711.553.335.084.450.000;6,27444E+14;7,38579E+14;1.026.492.213.894.580.000;1,26049E+15;1,63438E+15;2,02623E+15;2,44324E+15;3,25616E+15;3,90051E+15;4.106.258.957.894.690.000;5,03663E+15;6,39682E+15;7,39354E+15;1,00018E+16;1,15519E+16;1,1443E+16;1,31922E+16;1,487E+16
ILO_LF:ILO Labour force;PER:Number of persons;F:Female;Y_GE15:15 years and over;IR:Iran (Islamic Republic of);ILO_LF:PER:F:Y_GE15:IR;;;;;;;;;;;;;;;;;;;;;;1533;1593;1658;1731;1816;1926;2146;2392;2663;2961;3284;3640;4035;4471;4948;4834;4729;4232;4557;4515;4407;4301;4196;4091;4583;5224;5207
GNI_CAP_PPP:GNI per capita, PPP;INTER_CUR:current international $;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GNI_CAP_PPP:INTER_CUR:_Z:_Z:IR;;;;;;;;;;;;;;;;;;;;;7140;8140;8470;8460;8290;8700;9040;9250;9470;9480;10170;10510;11420;12490;13180;13880;14880;16380;16570;16610;17580;18190;17050;17070;17880;17650;20050;
OFF_XR:Official exchange rate;LCU_USD:LCU per US$;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);OFF_XR:LCU_USD:_Z:_Z:IR;7.575.000;7.575.000;7.574.997;6.888.523;6.763.808;6.765.169;7.023.569;7.063.033;7.048.864;7.048.864;7.062.845;7.834.307;8.361.864;8.637.458;9.004.710;9.106.920;7.877.499;7.147.399;6.869.646;7.202.877;6.810.909;6.751.848;6.556.468;126.801.769;174.908.949;174.826.604;175.110.202;175.326.103;175.220.160;175.327.051;176.477.107;175.390.121;690.702.038;819.388.752;861.398.942;896.395.891;917.094.288;928.115.183;942.852.826;986.430.246;1.025.417.647;1.061.630.664;1.217.554.722;1.841.444.801;;;;
ILO_EMP:ILO Employment;PER:Number of persons;M:Male;Y_GE15:15 years and over;IR:Iran (Islamic Republic of);ILO_EMP:PER:M:Y_GE15:IR;;;;;;;;;;;;;;;;;;;;;;11566;11785;11958;12154;12351;12610;12930;13248;13607;13935;14555;15488;16286;17289;17666;17926;18115;17933;17909;17728;18103;18284;18768;19033;19371;19641;19687
LIFE_EXP:Life expectancy at birth;YR:Years;_T:Total;_T:Total;IR:Iran (Islamic Republic of);LIFE_EXP:YR:_T:_T:IR;5.085.600;5.166.200;5.256.100;5.351.400;5.446.300;5.526.500;5.574.400;5.582.600;5.551.300;5.488.000;5.411.100;5.345.200;5.312.800;5.329.300;5.399.500;5.521.300;5.684.600;5.868.300;6.052.800;6.227.500;6.382.800;6.513.100;6.620.900;6.709.400;6.779.100;6.832.600;6.874.100;6.909.200;6.942.800;6.977.500;7.014.400;7.052.600;7.089.900;7.124.900;7.158.200;7.191.200;7.225.900;7.263.500;7.304.400;7.348.100;7.393.200;7.437.500;7.478.700;7.515.300;7.546.600;7.573.000;7.595.300;
GDP:Gross domestic product;LCU_CONST:constant LCU;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GDP:LCU_CONST:_Z:_Z:IR;2,55906E+15;2,92809E+15;3,35018E+15;3,63707E+15;3,87336E+15;3,77965E+15;4,43102E+15;4.250.906.946.640.460.000;3,65356E+15;3,26943E+15;2,36947E+15;2.246.824.634.803.560.000;2,85819E+15;3,10293E+15;2,83033E+15;2,89125E+15;2,59616E+15;2,61299E+15;2,47199E+15;2,62083E+15;2,98339E+15;3,35283E+15;3,44787E+15;3,48373E+15;3,43107E+15;3,50939E+15;3,69094E+15;3,70873E+15;3,7895E+15;3,82192E+15;4.045.813.055.230.300.000;4.077.315.322.748.930.000;4.373.554.752.266.440.000;4,75557E+15;4,9636E+15;5,12193E+15;5,37801E+15;5,81663E+15;5,83122E+15;5,88997E+15;6,23146E+15;6,39633E+15;5,92015E+15;5,90866E+15;6,18066E+15;6,09904E+15;6,91608E+15;7,21347E+15
GDP_CAP:GDP per capita;LCU_CUR:current LCU;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GDP_CAP:LCU_CUR:_Z:_Z:IR;2.915.937.009;3.552.387.036;4.320.549.202;6.036.193.311;9.831.180.417;10.783.129.344;14.228.209.283;16.341.734.873;15.280.078.499;17.100.437.192;17.466.487.660;19.997.843.486;25.395.840.949;31.250.752.963;32.795.275.812;33.390.680.523;32.495.361.169;37.930.358.585;41.263.028.876;49.714.517.671;67.560.234.500;93.742.729.681;123.344.154.566;179.913.445.220;233.957.889.549;325.824.278.644;439.125.798.017;504.920.271.604;553.277.462.586;730.028.150.968;949.723.982.356;1.100.367.968.953;1.505.682.362.860;1.828.337.652.657;2.351.479.890.298;2.882.498.520.895;3.428.730.594.223;4.508.197.320.210;5.336.940.551.597;5.574.164.680.153;6.753.359.769.545;8.472.906.183.432;9.603.138.631.093;12.828.719.044.606;14.688.594.845.226;14.382.682.597.084;16.382.263.766.597;18.268.697.832.312
GNI_CAP:GNI per capita;USD_CUR:current US$;_Z:Not applicable;_Z:Not applicable;IR:Iran (Islamic Republic of);GNI_CAP:USD_CUR:_Z:_Z:IR;40.000.000;46.000.000;560;750;1090;146.000.000;199.000.000;2080;1980;2310;210.000.000;240.000.000;3190;330.000.000;311.000.000;349.000.000;369.000.000;3570;303.000.000;259.000.000;2560;;;;;1330;160.000.000;180.000.000;180.000.000;171.000.000;1740;177.000.000;1860;2180;249.000.000;293.000.000;345.000.000;4230;490.000.000;546.000.000;614.000.000;679.000.000;705.000.000;695.000.000;647.000.000;534.000.000;5470;5400
